_CHH9KN1bO5cs_GHjQ-r1A,Jan,3.555555556
_CHH9KN1bO5cs_GHjQ-r1A,Feb,3.421052632
_CHH9KN1bO5cs_GHjQ-r1A,Mar,3.192307692
_CHH9KN1bO5cs_GHjQ-r1A,Apr,4.75
_CHH9KN1bO5cs_GHjQ-r1A,May,3.5
_CHH9KN1bO5cs_GHjQ-r1A,Aug,3
_CHH9KN1bO5cs_GHjQ-r1A,Sep,2
_CHH9KN1bO5cs_GHjQ-r1A,Oct,2
_CHH9KN1bO5cs_GHjQ-r1A,Dec,3
_v6HIliEOn0l0YaAmBOrxw,Jan,2.714285714
_v6HIliEOn0l0YaAmBOrxw,Feb,3.071428571
_v6HIliEOn0l0YaAmBOrxw,Mar,2.6875
_v6HIliEOn0l0YaAmBOrxw,Apr,3.375
_v6HIliEOn0l0YaAmBOrxw,May,3
_v6HIliEOn0l0YaAmBOrxw,Jun,2.8
_v6HIliEOn0l0YaAmBOrxw,Jul,3.68
_v6HIliEOn0l0YaAmBOrxw,Aug,3.260869565
_v6HIliEOn0l0YaAmBOrxw,Sep,3.36
_v6HIliEOn0l0YaAmBOrxw,Oct,2.588235294
_v6HIliEOn0l0YaAmBOrxw,Nov,2.6
_v6HIliEOn0l0YaAmBOrxw,Dec,3
05fTEsjUPVo5jks8PpNKCQ,Jan,4.166666667
05fTEsjUPVo5jks8PpNKCQ,Feb,4.041666667
05fTEsjUPVo5jks8PpNKCQ,Mar,4.205128205
05fTEsjUPVo5jks8PpNKCQ,Apr,3.787234043
05fTEsjUPVo5jks8PpNKCQ,May,3.843137255
05fTEsjUPVo5jks8PpNKCQ,Jun,4
05fTEsjUPVo5jks8PpNKCQ,Jul,3.72
05fTEsjUPVo5jks8PpNKCQ,Aug,3.916666667
05fTEsjUPVo5jks8PpNKCQ,Sep,3.933333333
05fTEsjUPVo5jks8PpNKCQ,Oct,3.575
05fTEsjUPVo5jks8PpNKCQ,Nov,3.607142857
05fTEsjUPVo5jks8PpNKCQ,Dec,4.105263158
1yx2zLskVTe5WQdYjL2Apw,Jan,4.066666667
1yx2zLskVTe5WQdYjL2Apw,Feb,3.7
1yx2zLskVTe5WQdYjL2Apw,Mar,4.210526316
1yx2zLskVTe5WQdYjL2Apw,Apr,4.258064516
1yx2zLskVTe5WQdYjL2Apw,May,4.115384615
